,Issuer Name,Security Id,Security Name,Industry,Sector Name,Industry,Igroup Name,Sector,,Index
,Golden Tobacco Ltd.,GOLDENTOBC,GOLDEN TOBACCO LTD.,Residential- Commercial Projects,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,
,"Ganesh Benzoplast Ltd.,",GANESHBE,GANESH BENZOPLAST LTD.,Oil Storage & Transportation,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Storage & Transportation,,
,Metroglobal Limited,METROGLOBL,Metroglobal Limited,Trading & Distributors,Services,Services,Commercial Services & Supplies,Trading & Distributors,,
,GTL Ltd,GTL,GTL LTD.,Other Telecom Services,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services,,
,"Godfrey Phillips India Ltd.,",GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,Cigarettes & Tobacco Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,,
,Godrej Industries Ltd.,GODREJIND,GODREJ INDUSTRIES LTD.,Diversified,Diversified,Diversified,Diversified,Diversified,,
,Kansai Nerolac Paints,KANSAINER,KANSAI NEROLAC PAINTS LTD.,Paints,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,,
,"Goodricke Group Ltd.,",GOODRICKE,GOODRICKE GROUP LTD.,Tea & Coffee,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,,
,"Goodyear India Ltd.,",GOODYEAR,GOODYEAR INDIA LTD.,Tyres & Rubber Products,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,,
,GTN Industries Limited,GTNINDS,GTN INDUSTRIES LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,GHCL Ltd.,GHCL,GHCL LTD.,Commodity Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,
,GFL LIMITED,GFLLIMITED,GFL Ltd,Holding Company,Financial Services,Financial Services,Finance,Holding Company,,
,"Gujarat Lease Financing Limited,",GLFL,GUJARAT LEASE FINANCING LTD.,Other Financial Services,Financial Services,Financial Services,Finance,Other Financial Services,,
,HCL Infosystems Ltd,HCL-INSYS,HCL INFOSYSTEMS LTD.,Computers Hardware & Equipments,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments,,
,HDFC Bank Ltd.,HDFCBANK,HDFC Bank Ltd,Private Sector Bank,Financial Services,Financial Services,Banks,Private Sector Bank,,
,Hero MotoCorp Limited,HEROMOTOCO,HERO MOTOCORP LTD.,2/3 Wheelers,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,,
,HFCL LIMITED,HFCL,HFCL Ltd,Telecom - Infrastructure,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure,,
,Himadri Speciality Chemical Ltd.,HSCL,Himadri Speciality Chemical Ltd,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,
,"Hindustan Construction Co. Ltd.,",HCC,HINDUSTAN CONSTRUCTION CO.LTD.,Civil Construction,Industrials,Construction,Construction,Civil Construction,,
,Hindustan Oil Exploration Co. Ltd.,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,Oil Exploration & Production,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production,,
,AGI GREENPAC LIMITED,AGI,Agi Greenpac Ltd,Packaging,Industrials,Capital Goods,Industrial Products,Packaging,,
,"Hindustan Zinc Ltd.,",HINDZINC,HINDUSTAN ZINC LTD.,Zinc,Commodities,Metals & Mining,Non - Ferrous Metals,Zinc,,
